3	13	5	6	2	4	1	67.5	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0.0247	0.0045	0.0036	0.0094	0	0	0.0186	0	0	0	0.042643	0	0	0.017148	0.018447	0	0	0.002556	0	0	0	4.1	5	4.2	4.2	4.6	4.7	4.7	5	4.2	4.6	4.75	1.1	1.45	0.96	1.02	1.48	1.43	1.52	1.5	0.95	1.33	1.265	1
3	14	6	2	1	1	1	67.5	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.009	0.0141	0.0077	0	0.0015	0	0	0.0022	0	0	0	0.091587	0.04256	0.191921	0.251837	0.080367	0	0	0	0	0	0	4.1	5	4.2	4.2	4.6	4.7	4.7	5	4.2	4.6	4.75	1.1	1.45	0.96	1.02	1.48	1.43	1.52	1.5	0.95	1.33	1.265	1
3	15	7	3	1	1	1	67.5	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0076	0.0283	0.0018	0.0386	0.0255	0.000016	0	0.079	0	0	0	1.9956	0.988859	0.06536	0.071689	0.039866	0	0	0	0	0	0	4.1	5	4.2	4.2	4.6	4.7	4.7	5	4.2	4.6	4.75	1.1	1.45	0.96	1.02	1.48	1.43	1.52	1.5	0.95	1.33	1.265	1
3	16	8	3	1	1	1	67.5	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0076	0.0283	0.0018	0.0386	0.0255	0.000016	0	0.079	0	0	0	1.9956	0.988859	0.06536	0.071689	0.039866	0	0	0	0	0	0	4.1	5	4.2	4.2	4.6	4.7	4.7	5	4.2	4.6	4.75	1.1	1.45	0.96	1.02	1.48	1.43	1.52	1.5	0.95	1.33	1.265	1
3	17	9	7	2	5	1	67.5	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0.0012	0	0.0097	0	0	0.0112	0	0	0	0.04683	0.137629	0.03485	0.041786	0.046913	0	0	0	0	0	0.002073	4.1	5	4.2	4.2	4.6	4.7	4.7	5	4.2	4.6	4.75	1.1	1.45	0.96	1.02	1.48	1.43	1.52	1.5	0.95	1.33	1.265	1
3	18	10	6	1	1	1	67.5	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0.007	0	0.0131	0	0	0.0055	0	0	0	0.007711	0.020727	0	0.017093	0.036881	0.020727	0	0	0	0	0	4.1	5	4.2	4.2	4.6	4.7	4.7	5	4.2	4.6	4.75	1.1	1.45	0.96	1.02	1.48	1.43	1.52	1.5	0.95	1.33	1.265	1
3	19	11	6	1	1	1	67.5	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0.007	0	0.0131	0	0	0.0055	0	0	0	0.007711	0.020727	0	0.017093	0.036881	0.020727	0	0	0	0	0	4.1	5	4.2	4.2	4.6	4.7	4.7	5	4.2	4.6	4.75	1.1	1.45	0.96	1.02	1.48	1.43	1.52	1.5	0.95	1.33	1.265	1
3	20	12	2	1	1	1	67.5	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0.0272	0	0.009	0	0	0.0197	0	0	0	0.671925	0.287267	0.072739	0.257281	0.170641	0.24537	0	0	0	0	0.002487	4.1	5	4.2	4.2	4.6	4.7	4.7	5	4.2	4.6	4.75	1.1	1.45	0.96	1.02	1.48	1.43	1.52	1.5	0.95	1.33	1.265	1
3	21	13	2	1	1	1	67.5	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0.0272	0	0.009	0	0	0.0197	0	0	0	0.671925	0.287267	0.072739	0.257281	0.170641	0.24537	0	0	0	0	0.002487	4.1	5	4.2	4.2	4.6	4.7	4.7	5	4.2	4.6	4.75	1.1	1.45	0.96	1.02	1.48	1.43	1.52	1.5	0.95	1.33	1.265	1
4	22	1	5	2	1	3	33.3333	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0.1255	0.0026	0.0047	0.0649	0.0537	0	0.2451	0.0366	0	0	0.0019	0.736021	0.113025	0	0.394986	0.213643	0	0	0	0	0	0.058472	4.1	5	4.2	4.2	4.6	4.7	4.7	5	4.2	4.6	4.75	1.1	1.45	0.96	1.02	1.48	1.43	1.52	1.5	0.95	1.33	1.265	3
